Image_No,age,gender,race,center_dist,space
32,"{'0-2': 2.9204738627441884e-07, '3-9': 0.10373686673119664, '10-19': 71.50473594665527, '20-29': 28.380274772644043, '30-39': 0.01125070484704338, '40-49': 2.700980061831615e-06, '50-59': 7.350263626915154e-10, '60-69': 4.3588068809712055e-11, '70+': 1.0397038895245628e-12}","{'male': 0.00541063527634833, 'female': 99.9945878982544}","{'white': 10.427555441856384, 'black': 0.03253082395531237, 'latino hispanic': 51.276153326034546, 'asian': 8.477652072906494, 'indian': 20.439693331718445, 'middle eastern': 9.34642106294632}",,
33,10-19,female,indian,18.0,92.28515625
33,"{'0-2': 7.753270026000791e-07, '3-9': 0.1949635916389525, '10-19': 56.68397545814514, '20-29': 43.022289872169495, '30-39': 0.09871280053630471, '40-49': 5.781694767392764e-05, '50-59': 2.8254187878218318e-08, '60-69': 1.0118878825127187e-09, '70+': 1.6396779767280378e-11}","{'male': 0.013512810983229429, 'female': 99.98648166656494}","{'white': 1.4627054333686829, 'black': 0.025921876658685505, 'latino hispanic': 16.7408749461174, 'asian': 0.03778726386372, 'indian': 76.57997012138367, 'middle eastern': 5.152741074562073}",,
34,20-29,male,latino hispanic,24.020824298928627,93.97249221801758
34,"{'0-2': 2.6730876356850786e-05, '3-9': 0.011739465116988868, '10-19': 5.395694077014923, '20-29': 86.09456419944763, '30-39': 8.45801830291748, '40-49': 0.03990385739598423, '50-59': 4.377974960334541e-05, '60-69': 1.3317688285496843e-06, '70+': 3.4805947013438754e-08}","{'male': 99.86154437065125, 'female': 0.13845546636730433}","{'white': 26.9522488117218, 'black': 0.5024615675210953, 'latino hispanic': 61.60041093826294, 'asian': 0.13806840870529413, 'indian': 7.097093015909195, 'middle eastern': 3.7097178399562836}",,
35,10-19,female,black,11.180339887498947,76.77173614501953
35,"{'0-2': 0.0010252530955767725, '3-9': 3.03129144012928, '10-19': 66.14270210266113, '20-29': 30.47870099544525, '30-39': 0.344882789067924, '40-49': 0.0013961000149720348, '50-59': 4.426359012654757e-06, '60-69': 1.7062002921619523e-07, '70+': 1.1913450781442236e-08}","{'male': 1.0014000348746777, 'female': 98.9986002445221}","{'white': 0.009530754323350266, 'black': 99.43414330482483, 'latino hispanic': 0.2624067245051265, 'asian': 0.007990768062882125, 'indian': 0.28316432144492865, 'middle eastern': 0.002766276338661555}",,
36,10-19,female,indian,58.034472514187634,81.02989196777344
36,"{'0-2': 3.5869511805231014e-06, '3-9': 4.758866876363754, '10-19': 92.55470037460327, '20-29': 2.68420223146677, '30-39': 0.002226420292572584, '40-49': 1.3767583517676485e-06, '50-59': 9.943931962574926e-10, '60-69': 9.6839214164951e-11, '70+': 1.906698269323742e-12}","{'male': 0.11211392702534795, 'female': 99.88788962364197}","{'white': 0.0700422446243465, 'black': 0.010710883361753076, 'latino hispanic': 4.188599064946175, 'asian': 2.1225621923804283, 'indian': 93.49089860916138, 'middle eastern': 0.11718642199411988}",,
37,20-29,male,white,146.01369798755184,70.87135314941406
37,"{'0-2': 8.584083843743429e-06, '3-9': 0.006894413672853261, '10-19': 5.895261839032173, '20-29': 92.68403649330139, '30-39': 1.410623174160719, '40-49': 0.003173494042130187, '50-59': 2.186088465805369e-06, '60-69': 6.139795338810927e-08, '70+': 1.83356697880388e-09}","{'male': 99.99853372573853, 'female': 0.0014637174899689853}","{'white': 98.32900166511536, 'black': 0.00027375633635529084, 'latino hispanic': 0.316580873914063, 'asian': 0.00043589534470811486, 'indian': 0.022371452359948307, 'middle eastern': 1.3313308358192444}",,
38,20-29,male,black,169.3576098083579,58.29906463623047
38,"{'0-2': 1.4298429995562856e-06, '3-9': 0.006343580753309652, '10-19': 7.41039514541626, '20-29': 89.71301317214966, '30-39': 2.8613433241844177, '40-49': 0.00890182054718025, '50-59': 7.748426611442483e-06, '60-69': 7.239084331978063e-08, '70+': 4.728603966719369e-09}","{'male': 99.98310804367065, 'female': 0.016893651627469808}","{'white': 3.6354947496874956e-05, 'black': 99.980628490448, 'latino hispanic': 0.00027093294647784205, 'asian': 3.704105111523859e-06, 'indian': 0.019052364223171026, 'middle eastern': 1.4301244277703518e-05}",,
39,20-29,male,indian,118.20744477400737,75.52528381347656
39,"{'0-2': 0.00010242500820822897, '3-9': 0.03528728848323226, '10-19': 11.69419065117836, '20-29': 82.6290488243103, '30-39': 5.577792227268219, '40-49': 0.06331702461466193, '50-59': 0.00025175343125738436, '60-69': 1.4858991903565766e-05, '70+': 4.22087564899698e-07}","{'male': 99.8792827129364, 'female': 0.12071540113538504}","{'white': 1.0879107750952244, 'black': 0.2907588379457593, 'latino hispanic': 27.504107356071472, 'asian': 17.13235229253769, 'indian': 53.278571367263794, 'middle eastern': 0.7063047960400581}",,
40,20-29,male,indian,131.06105447462264,73.66323471069336
40,"{'0-2': 8.817239631753182e-05, '3-9': 0.08622195455245674, '10-19': 7.677151262760162, '20-29': 89.02392983436584, '30-39': 3.1982429325580597, '40-49': 0.01434861624147743, '50-59': 8.185100597302153e-06, '60-69': 3.631477341059508e-07, '70+': 5.288174065309903e-09}","{'male': 99.95439052581787, 'female': 0.04561030073091388}","{'white': 1.4284907840192318, 'black': 0.0010129720067197923, 'latino hispanic': 2.86225862801075, 'asian': 0.00430080654041376, 'indian': 67.78738498687744, 'middle eastern': 27.916550636291504}",,
41,10-19,male,latino hispanic,5.0,97.46551513671875
41,"{'0-2': 1.9235957893215527e-05, '3-9': 0.11624224716797471, '10-19': 61.61169409751892, '20-29': 37.90555000305176, '30-39': 0.36513463128358126, '40-49': 0.0013624209714180324, '50-59': 2.5393607216983582e-06, '60-69': 9.770114717255751e-08, '70+': 1.8658944181404458e-09}","{'male': 99.9987542629242, 'female': 0.001247651016456075}","{'white': 16.285015642642975, 'black': 0.08836611523292959, 'latino hispanic': 48.59339892864227, 'asian': 0.1673198421485722, 'indian': 29.731670022010803, 'middle eastern': 5.134227126836777}",,
42,20-29,male,white,18.027756377319946,94.60563659667969
42,"{'0-2': 2.079768535168114e-05, '3-9': 0.025216155336238444, '10-19': 8.823180198669434, '20-29': 89.08776640892029, '30-39': 2.059810422360897, '40-49': 0.004000994158559479, '50-59': 2.4705157031235103e-06, '60-69': 7.592650952403801e-08, '70+': 1.2779253349970432e-09}","{'male': 99.9923825263977, 'female': 0.007616976654389873}","{'white': 57.42197036743164, 'black': 0.004665540473069996, 'latino hispanic': 22.974738478660583, 'asian': 0.037493641139008105, 'indian': 9.987656772136688, 'middle eastern': 9.573476761579514}",,
43,20-29,female,asian,141.01418368376991,72.27516174316406
43,"{'0-2': 3.530585157562882e-07, '3-9': 0.008786478429101408, '10-19': 10.447414964437485, '20-29': 88.31786513328552, '30-39': 1.2244180776178837, '40-49': 0.0015183808500296436, '50-59': 7.440360771937549e-07, '60-69': 1.8030733850427083e-08, '70+': 1.5670184334154458e-10}","{'male': 0.0001578107912791893, 'female': 99.9998390674591}","{'white': 0.6042599678039551, 'black': 0.0015920473742880858, 'latino hispanic': 4.137531295418739, 'asian': 93.11516284942627, 'indian': 2.1043580025434494, 'middle eastern': 0.03709586744662374}",,
44,20-29,female,indian,137.32079230764728,56.586456298828125
44,"{'0-2': 8.936270390336176e-07, '3-9': 0.11774060549214482, '10-19': 40.42879641056061, '20-29': 59.11040902137756, '30-39': 0.3427430987358093, '40-49': 0.0003047229029107257, '50-59': 1.955771100625725e-07, '60-69': 6.628243093276254e-09, '70+': 1.1387893666253701e-10}","{'male': 0.013804186892230064, 'female': 99.98618960380554}","{'white': 0.021927719353698194, 'black': 0.14708437956869602, 'latino hispanic': 1.072143204510212, 'asian': 0.24657687172293663, 'indian': 98.50221872329712, 'middle eastern': 0.01004505465971306}",,
