Image_No,age,gender,race,emotion,center_dist,space
23,28,"{'male': 1.6491277143359184, 'female': 98.35087656974792}","{'asian': 1.989300549030304, 'indian': 3.2054897397756577, 'black': 0.6284444127231836, 'white': 44.168710708618164, 'middle eastern': 17.6286980509758, 'latino hispanic': 32.379359006881714}","{'angry': 1.4162034889595951e-08, 'disgust': 3.1189454336790117e-14, 'fear': 6.990260176572267e-09, 'happy': 99.94036554934773, 'sad': 5.554989688495702e-07, 'surprise': 1.4633418194549172e-05, 'neutral': 0.05962008500069887}",,
24,30,female,asian,happy,2.23606797749979,54.443771626297575
24,30,"{'male': 3.6667461955630642e-06, 'female': 100.0}","{'asian': 32.9453309145767, 'indian': 8.89032238068118, 'black': 2.4692160617837944, 'white': 19.840553095373696, 'middle eastern': 14.037857296339112, 'latino hispanic': 21.816725839181295}","{'angry': 9.89220594327378e-08, 'disgust': 7.73792786573288e-12, 'fear': 3.133356241136198e-07, 'happy': 99.9106228351593, 'sad': 9.501042619319833e-07, 'surprise': 4.748597959292056e-07, 'neutral': 0.08937542443163693}",,
25,30,female,asian,happy,24.331050121192874,47.23875
25,30,"{'male': 0.002364660394960083, 'female': 99.9976396560669}","{'asian': 97.6616083181863, 'indian': 0.070108640461185, 'black': 0.004979634401338735, 'white': 0.4335321744401559, 'middle eastern': 0.03744212377005808, 'latino hispanic': 1.7923309604722835}","{'angry': 1.1712781855521825e-06, 'disgust': 1.8291201363412765e-14, 'fear': 0.000572684757571551, 'happy': 99.99880790710449, 'sad': 5.886513054775833e-07, 'surprise': 2.1857202270325615e-06, 'neutral': 0.0006221694548003143}",,
26,38,female,white,happy,23.021728866442675,80.32000000000001
26,38,"{'male': 0.09776242077350616, 'female': 99.9022364616394}","{'asian': 0.0007514175649703247, 'indian': 0.000558904821446049, 'black': 7.298187654214416e-06, 'white': 99.50770735740662, 'middle eastern': 0.2719171345233917, 'latino hispanic': 0.21905936300754547}","{'angry': 9.98286314723984e-09, 'disgust': 8.932375357358384e-14, 'fear': 2.586134639770421e-08, 'happy': 99.85027313232422, 'sad': 0.000188379976862052, 'surprise': 1.4876394338614318e-06, 'neutral': 0.1495399046689272}",,
27,22,male,white,happy,3.0,95.29124149659864
27,22,"{'male': 99.14994835853577, 'female': 0.850050151348114}","{'asian': 3.222136228941963e-05, 'indian': 3.735133091709031e-06, 'black': 1.550040651387974e-08, 'white': 99.81634020805359, 'middle eastern': 0.05188514478504658, 'latino hispanic': 0.13174330815672874}","{'angry': 0.00016263986708509037, 'disgust': 1.3148424016229399e-08, 'fear': 0.0006561322607012698, 'happy': 89.15093541145325, 'sad': 0.026599157718010247, 'surprise': 0.043261906830593944, 'neutral': 10.778389126062393}",,
28,30,female,asian,happy,10.04987562112089,36.498941857874804
