Image_No,age,gender,race,emotion,center_dist,space
42,28,"{'male': 5.403643846511841, 'female': 94.59635615348816}","{'asian': 0.003152232590610374, 'indian': 0.0216272721129555, 'black': 0.00042627274899821556, 'white': 91.67184332944831, 'middle eastern': 5.463168491343439, 'latino hispanic': 2.839775790002848}","{'angry': 4.456813274401341e-18, 'disgust': 3.3176631593558286e-25, 'fear': 1.5567797622189404e-17, 'happy': 99.99983310699463, 'sad': 1.3406863238942662e-11, 'surprise': 2.2660965511294047e-12, 'neutral': 0.0001678824901318876}",,
43,49,male,white,happy,101.96568050084304,40.06500244140625
43,49,"{'male': 99.9993085861206, 'female': 0.000689914804752334}","{'asian': 0.005645890632877126, 'indian': 0.006538887828355655, 'black': 9.418818081030622e-05, 'white': 96.75045609474182, 'middle eastern': 1.5724821016192436, 'latino hispanic': 1.6647834330797195}","{'angry': 2.788773039783282e-05, 'disgust': 7.896569423773298e-26, 'fear': 1.0523391160158125e-14, 'happy': 93.94006205319619, 'sad': 1.2941373095854573e-07, 'surprise': 1.3286533403951106e-14, 'neutral': 6.059904419195125}",,
44,32,female,asian,neutral,116.36150566231085,31.26983642578125
44,32,"{'male': 2.251567505300045, 'female': 97.74842858314514}","{'asian': 50.91906189918518, 'indian': 20.570600032806396, 'black': 6.566906720399857, 'white': 0.6618380546569824, 'middle eastern': 0.17163889715448022, 'latino hispanic': 21.109962463378906}","{'angry': 7.235915958881378, 'disgust': 0.00024511600713594817, 'fear': 2.6154186576604843, 'happy': 14.352886378765106, 'sad': 1.228514313697815, 'surprise': 0.27622454799711704, 'neutral': 74.29079413414001}",,
45,29,male,white,happy,113.95174417269794,46.874237060546875
45,29,"{'male': 99.94995594024658, 'female': 0.05004574777558446}","{'asian': 0.09679589430813261, 'indian': 0.07582518998009682, 'black': 0.0038896740899623523, 'white': 84.98609841035623, 'middle eastern': 7.331655790608431, 'latino hispanic': 7.505733370097474}","{'angry': 1.1423115618526936, 'disgust': 9.445375592775918e-08, 'fear': 8.403803803957999e-05, 'happy': 97.42385745048523, 'sad': 0.06253739120438695, 'surprise': 3.724457897646971e-06, 'neutral': 1.371209230273962}",,
46,28,male,white,fear,161.78998732925348,32.8125
46,28,"{'male': 99.98526573181152, 'female': 0.014734842989128083}","{'asian': 0.0003275213949301503, 'indian': 0.0031315572319186055, 'black': 2.7671616363614613e-06, 'white': 97.53698735988291, 'middle eastern': 1.912117894039405, 'latino hispanic': 0.5474338121046052}","{'angry': 21.084722876548767, 'disgust': 5.085828633233369e-09, 'fear': 62.00966835021973, 'happy': 7.682562919164582e-08, 'sad': 15.702049434185028, 'surprise': 5.8824706883342515e-06, 'neutral': 1.2035487219691277}",,
47,32,female,white,neutral,86.00581375697809,47.61505126953125
47,32,"{'male': 0.0034698256058618426, 'female': 99.99653100967407}","{'asian': 5.300929510482608, 'indian': 1.6006424977609517, 'black': 0.47388508854686157, 'white': 52.85514559088402, 'middle eastern': 13.45156419854591, 'latino hispanic': 26.31782873656407}","{'angry': 0.16499956034129137, 'disgust': 1.2954839821982162e-08, 'fear': 0.3676678081401815, 'happy': 5.267485348285991, 'sad': 0.003180429833387007, 'surprise': 0.19628098222989054, 'neutral': 94.00038194651819}",,
48,33,female,white,happy,174.14074767268,28.238296508789062
48,33,"{'male': 0.0002762112899290514, 'female': 99.99972581863403}","{'asian': 1.2110862313008397e-07, 'indian': 1.5240377848613207e-06, 'black': 4.723324509292581e-09, 'white': 99.95972514152527, 'middle eastern': 0.014782192010898143, 'latino hispanic': 0.02549689670559019}","{'angry': 3.3229529443619986e-08, 'disgust': 1.9868691979636424e-23, 'fear': 1.9644882680339764e-13, 'happy': 99.998074769859, 'sad': 5.078287811080274e-11, 'surprise': 7.596058279946442e-06, 'neutral': 0.001920794171274944}",,
49,30,male,white,happy,33.24154027718932,38.9556884765625
