Image_No,age,gender,race,emotion,center_dist,space
24,41,"{'male': 99.99983310699463, 'female': 0.0001643940549911349}","{'asian': 0.04227762983646244, 'indian': 0.26815952733159065, 'black': 0.031153910094872117, 'white': 70.03082633018494, 'middle eastern': 7.4758462607860565, 'latino hispanic': 22.1517413854599}","{'angry': 0.05915719084441662, 'disgust': 0.0006502495580207324, 'fear': 0.09669772116467357, 'happy': 99.06772375106812, 'sad': 0.18780601676553488, 'surprise': 0.011205123882973567, 'neutral': 0.5767642520368099}",,
25,35,female,white,happy,276.84833393033085,42.166709899902344
25,35,"{'male': 3.188464045524597, 'female': 96.81153297424316}","{'asian': 0.3020058566037331, 'indian': 1.1982287063138906, 'black': 0.16700271348298867, 'white': 52.435025717915636, 'middle eastern': 23.044560733113332, 'latino hispanic': 22.853180638145247}","{'angry': 5.413754215252623e-05, 'disgust': 5.969244699580455e-08, 'fear': 0.01675653674857384, 'happy': 99.30155268926056, 'sad': 0.0017234148125602827, 'surprise': 0.00047276763504360084, 'neutral': 0.6794466515715899}",,
26,28,female,white,sad,176.70880000724355,57.16514587402344
26,28,"{'male': 5.382955819368362, 'female': 94.6170449256897}","{'asian': 0.017517040712843282, 'indian': 0.01965828968270732, 'black': 0.0008262828979707374, 'white': 86.6154781946825, 'middle eastern': 3.000820793260383, 'latino hispanic': 10.345695784431445}","{'angry': 0.1049337899950099, 'disgust': 1.4778287941378714e-07, 'fear': 3.314298368776039, 'happy': 8.278693862753278e-05, 'sad': 96.5402368855194, 'surprise': 0.00021906993996350578, 'neutral': 0.04022229507243841}",,
27,28,male,indian,sad,277.99640285442547,39.16130065917969
27,28,"{'male': 99.96209144592285, 'female': 0.03790922637563199}","{'asian': 2.4481640072865476, 'indian': 43.761271982041364, 'black': 34.5404732775124, 'white': 0.7526800536149676, 'middle eastern': 0.415318130365833, 'latino hispanic': 18.08208756660371}","{'angry': 0.07362266044304731, 'disgust': 8.336150843272984e-10, 'fear': 0.7415177742551431, 'happy': 0.0001739669177378309, 'sad': 98.74663345495662, 'surprise': 3.243481765539237e-06, 'neutral': 0.43804825100590294}",,
28,34,female,white,neutral,259.268200904006,40.57645797729492
28,34,"{'male': 1.653860124406492e-05, 'female': 99.99998807907104}","{'asian': 0.09504677176849284, 'indian': 0.07296094266790835, 'black': 0.0021800399865767746, 'white': 87.32860835449596, 'middle eastern': 4.565339363772945, 'latino hispanic': 7.9358605520891485}","{'angry': 0.0004627888301911298, 'disgust': 8.159717069773989e-12, 'fear': 7.312058158959189e-06, 'happy': 1.4979488216340542, 'sad': 0.0006459413725679042, 'surprise': 0.006202631630003452, 'neutral': 98.49473834037781}",,
29,33,male,white,neutral,224.01785643113365,49.84426498413086
29,33,"{'male': 99.99945163726807, 'female': 0.0005538904588320293}","{'asian': 2.4768176398737296e-07, 'indian': 0.0001928646952364943, 'black': 8.728609501851281e-08, 'white': 98.48312139511108, 'middle eastern': 1.3064293190836906, 'latino hispanic': 0.21026225294917822}","{'angry': 0.20700625609606504, 'disgust': 2.6950233711353633e-09, 'fear': 0.006378138641593978, 'happy': 3.040827607492247e-05, 'sad': 0.16872058622539043, 'surprise': 1.3268994791815203e-07, 'neutral': 99.61786270141602}",,
30,32,male,middle eastern,neutral,227.26636354727023,44.7052001953125
30,32,"{'male': 99.99966621398926, 'female': 0.0003291309212727356}","{'asian': 0.015114714361114166, 'indian': 2.683708231670155, 'black': 0.055265424109052066, 'white': 13.275199429702726, 'middle eastern': 73.78719888849251, 'latino hispanic': 10.183516006679296}","{'angry': 37.218570709228516, 'disgust': 1.9376615867372493e-06, 'fear': 0.08456327486783266, 'happy': 0.4933468531817198, 'sad': 7.549397647380829, 'surprise': 0.0022464784706244245, 'neutral': 54.65186834335327}",,
31,32,female,white,happy,264.8018126826174,34.0576171875
31,32,"{'male': 6.175322369017522e-05, 'female': 99.99994039535522}","{'asian': 0.016334540850948542, 'indian': 0.38183608558028936, 'black': 0.0021328294678824022, 'white': 46.18798494338989, 'middle eastern': 43.9758837223053, 'latino hispanic': 9.435825794935226}","{'angry': 1.900655988379134e-11, 'disgust': 4.625952016739687e-17, 'fear': 2.9591159066048318e-08, 'happy': 99.98812079358821, 'sad': 1.014755007221751e-07, 'surprise': 2.0752907297264786e-07, 'neutral': 0.011877642080810939}",,
32,25,female,latino hispanic,neutral,242.5633937757303,46.896934509277344
