Image_No,age,gender,race,center_dist,space
40,20-29,female,white,23.08679276123039,70.1019287109375
40,"{'0-2': 0.00034932086236949544, '3-9': 0.524675752967596, '10-19': 13.939379155635834, '20-29': 69.08816695213318, '30-39': 15.275663137435913, '40-49': 1.161002553999424, '50-59': 0.010667150490917265, '60-69': 9.932788316291408e-05, '70+': 3.6750215315350943e-06}","{'male': 0.046373376972042024, 'female': 99.95362758636475}","{'white': 99.89349842071533, 'black': 0.00016267323417196167, 'latino hispanic': 0.07556881755590439, 'asian': 0.0009399454938829876, 'indian': 0.0006373146788973827, 'middle eastern': 0.02918862155638635}",,
41,20-29,female,latino hispanic,20.223748416156685,89.42947387695312
41,"{'0-2': 1.2471669919023043e-06, '3-9': 0.001471718951506773, '10-19': 2.736266702413559, '20-29': 93.88698935508728, '30-39': 3.3632084727287292, '40-49': 0.01203680585604161, '50-59': 2.8229447934791096e-05, '60-69': 2.542065669075555e-07, '70+': 3.0473207290881987e-09}","{'male': 0.0032170100894290954, 'female': 99.99678134918213}","{'white': 7.186427712440491, 'black': 3.24554443359375, 'latino hispanic': 67.927086353302, 'asian': 0.020609996863640845, 'indian': 21.268972754478455, 'middle eastern': 0.35135888028889894}",,
42,20-29,female,white,117.00427342623004,48.122406005859375
42,"{'0-2': 1.5172268774676922e-06, '3-9': 0.00084513585534296, '10-19': 3.2300088554620743, '20-29': 85.50431728363037, '30-39': 11.175952851772308, '40-49': 0.0886414956767112, '50-59': 0.0002314168796146987, '60-69': 2.48073508402058e-06, '70+': 3.68633540359653e-08}","{'male': 0.08139972342178226, 'female': 99.91859793663025}","{'white': 71.2171196937561, 'black': 0.08733412250876427, 'latino hispanic': 24.98660683631897, 'asian': 0.014811345317866653, 'indian': 0.1505163381807506, 'middle eastern': 3.543608635663986}",,
43,20-29,female,white,65.14598989960933,69.89250183105469
43,"{'0-2': 1.1191294113643835e-06, '3-9': 0.004048877599416301, '10-19': 5.03406934440136, '20-29': 92.57190227508545, '30-39': 2.3863987997174263, '40-49': 0.0035740948078455403, '50-59': 4.015599941453729e-06, '60-69': 2.9666891165902598e-08, '70+': 5.003344960563538e-10}","{'male': 0.0014600132999476045, 'female': 99.99854564666748}","{'white': 84.23988819122314, 'black': 0.5142703652381897, 'latino hispanic': 14.632770419120789, 'asian': 0.013124071119818836, 'indian': 0.4838935565203428, 'middle eastern': 0.11605530744418502}",,
44,20-29,female,latino hispanic,136.69308687713507,42.2576904296875
44,"{'0-2': 1.9759704628086183e-05, '3-9': 0.004430330591276288, '10-19': 3.5610731691122055, '20-29': 57.45343565940857, '30-39': 35.106444358825684, '40-49': 3.8088593631982803, '50-59': 0.06487362552434206, '60-69': 0.0008475993126921821, '70+': 1.643916647253718e-05}","{'male': 4.47208359837532, 'female': 95.52791714668274}","{'white': 31.82242512702942, 'black': 0.4902930464595556, 'latino hispanic': 48.09574782848358, 'asian': 3.826643154025078, 'indian': 0.3585326252505183, 'middle eastern': 15.40636122226715}",,
45,20-29,female,black,3.0,98.24981689453125
45,"{'0-2': 9.910827714065817e-06, '3-9': 0.0016864347344380803, '10-19': 2.272788994014263, '20-29': 86.34195923805237, '30-39': 11.11946627497673, '40-49': 0.26169344782829285, '50-59': 0.002370833135501016, '60-69': 2.4147260546669713e-05, '70+': 5.412518877534467e-07}","{'male': 0.00993095018202439, 'female': 99.9900758266449}","{'white': 2.343595400452614, 'black': 48.4887033700943, 'latino hispanic': 32.18502998352051, 'asian': 0.2034366363659501, 'indian': 16.316165030002594, 'middle eastern': 0.4630700685083866}",,
46,20-29,female,latino hispanic,18.248287590894655,44.20661926269531
46,"{'0-2': 4.7273975845030236e-07, '3-9': 0.004553519102046266, '10-19': 10.378297418355942, '20-29': 81.93362355232239, '30-39': 7.642688602209091, '40-49': 0.04076946061104536, '50-59': 6.410675723600434e-05, '60-69': 5.249366274995282e-07, '70+': 5.8502973299123795e-09}","{'male': 0.0010063128684123512, 'female': 99.9989926815033}","{'white': 39.75885510444641, 'black': 0.22994019091129303, 'latino hispanic': 57.47328996658325, 'asian': 0.39198375307023525, 'indian': 0.4587172996252775, 'middle eastern': 1.6872072592377663}",,
