Image_No,age,gender,race,emotion,center_dist,space
31,40,"{'male': 99.99817609786987, 'female': 0.0018180477127316408}","{'asian': 0.6462341335434755, 'indian': 1.389997473061386, 'black': 0.13160570119923934, 'white': 63.57339458782737, 'middle eastern': 20.264365343527157, 'latino hispanic': 13.99439853496569}","{'angry': 6.816692099675947e-07, 'disgust': 1.8418487916072425e-13, 'fear': 9.30334559390289e-09, 'happy': 99.9998688697815, 'sad': 7.59428530727746e-05, 'surprise': 4.77710353100156e-12, 'neutral': 5.837007392983651e-05}",,
32,30,male,white,happy,66.24198064671678,62.15972900390625
32,30,"{'male': 99.980229139328, 'female': 0.01977134816115722}","{'asian': 3.5233355946337475e-11, 'indian': 9.757305640539782e-11, 'black': 1.0100640255902957e-13, 'white': 99.99963045120239, 'middle eastern': 0.00024736998511798447, 'latino hispanic': 0.00011694127124428633}","{'angry': 1.0236142394793219e-25, 'disgust': 0.0, 'fear': 3.4439358557874756e-34, 'happy': 100.0, 'sad': 2.1834720758241013e-24, 'surprise': 2.4407720197649007e-29, 'neutral': 2.0937882862050915e-14}",,
33,30,male,white,happy,6.0,97.265625
33,30,"{'male': 99.99309778213501, 'female': 0.0069035537308081985}","{'asian': 7.342804952937231e-13, 'indian': 8.046578370789464e-13, 'black': 1.57127496508059e-16, 'white': 99.99998807907104, 'middle eastern': 5.387860824157542e-06, 'latino hispanic': 4.49683454917249e-06}","{'angry': 6.463105745035946e-09, 'disgust': 3.0699746491498836e-29, 'fear': 6.061378994035592e-20, 'happy': 100.0, 'sad': 3.904644804016789e-14, 'surprise': 8.782657625249976e-13, 'neutral': 2.2376982489191732e-07}",,
34,26,male,white,happy,152.6892268629323,33.41522216796875
34,26,"{'male': 99.99511241912842, 'female': 0.004889553747489117}","{'asian': 1.1027275310592373, 'indian': 2.8416355902931447, 'black': 0.18724600037908556, 'white': 38.633527674289205, 'middle eastern': 22.769127653189162, 'latino hispanic': 34.46573820505966}","{'angry': 3.665268396213498e-15, 'disgust': 1.5260235644993317e-23, 'fear': 4.1510872553782563e-17, 'happy': 99.96854066848755, 'sad': 1.8027041719190923e-11, 'surprise': 4.0309696552887075e-09, 'neutral': 0.03146425005979836}",,
35,32,male,latino hispanic,happy,6.0,96.10748291015625
35,32,"{'male': 99.96415376663208, 'female': 0.03585091035347432}","{'asian': 5.929730832576752, 'indian': 8.577306568622589, 'black': 2.9661783948540688, 'white': 15.196679532527924, 'middle eastern': 6.844314932823181, 'latino hispanic': 60.48579216003418}","{'angry': 9.115156004123326e-12, 'disgust': 4.08173619063461e-25, 'fear': 3.636092506223826e-19, 'happy': 100.0, 'sad': 1.9700589087585235e-11, 'surprise': 1.8566846398528506e-15, 'neutral': 7.081423003540976e-07}",,
36,30,male,white,happy,28.861739379323623,60.05859375
