Image_No,age,gender,race,emotion,center_dist,space
23,29,"{'male': 99.98621940612793, 'female': 0.013777990534435958}","{'asian': 6.762608885765076, 'indian': 5.173437669873238, 'black': 84.90939140319824, 'white': 0.06912659737281501, 'middle eastern': 0.03248855355195701, 'latino hispanic': 3.0529463663697243}","{'angry': 0.0002821910070394277, 'disgust': 1.2382989252872815e-10, 'fear': 0.005194156929432455, 'happy': 0.02292270064777959, 'sad': 0.20559117026425422, 'surprise': 3.3982922947255783e-07, 'neutral': 99.76601003205836}",,
24,35,male,asian,neutral,25.059928172283335,74.8835563659668
24,35,"{'male': 99.97976422309875, 'female': 0.02023282431764528}","{'asian': 26.217758655548096, 'indian': 14.169171452522278, 'black': 11.276699602603912, 'white': 11.744701117277145, 'middle eastern': 11.064285784959793, 'latino hispanic': 25.527378916740417}","{'angry': 0.0022873626221553423, 'disgust': 1.582886460793631e-08, 'fear': 0.0014230324268282857, 'happy': 0.011705974611686543, 'sad': 0.0024199947802117094, 'surprise': 0.18834389047697186, 'neutral': 99.79382157325745}",,
25,38,male,white,sad,118.86967653695369,42.31882095336914
25,38,"{'male': 84.72015261650085, 'female': 15.279845893383026}","{'asian': 8.468018472194672, 'indian': 16.959679126739502, 'black': 6.7911796271800995, 'white': 28.880029916763306, 'middle eastern': 23.429575562477112, 'latino hispanic': 15.47151505947113}","{'angry': 0.00678191435228571, 'disgust': 1.1939197010992239e-05, 'fear': 34.9269938381903, 'happy': 0.6932031723950115, 'sad': 64.37015108706368, 'surprise': 2.424126188991868e-08, 'neutral': 0.0028639362202573905}",,
26,27,male,latino hispanic,fear,82.76472678623425,79.93183135986328
26,27,"{'male': 99.99979734420776, 'female': 0.00020763457087014103}","{'asian': 20.67045569419861, 'indian': 13.131751120090485, 'black': 24.58304762840271, 'white': 6.638699024915695, 'middle eastern': 5.770649388432503, 'latino hispanic': 29.20539677143097}","{'angry': 0.036026800878876344, 'disgust': 8.66635442237893e-06, 'fear': 90.85326303800785, 'happy': 0.009189729094472411, 'sad': 0.1655221952247983, 'surprise': 8.935472049060815, 'neutral': 0.0005177775457321891}",,
27,48,male,black,neutral,77.83315488916018,70.42255401611328
27,48,"{'male': 99.99949932098389, 'female': 0.0004950557467964245}","{'asian': 1.493752942233927, 'indian': 3.674290263737409, 'black': 89.50076824417494, 'white': 0.441959866722242, 'middle eastern': 0.27611878668590945, 'latino hispanic': 4.613109128104552}","{'angry': 0.012924787006340921, 'disgust': 3.446966697533485e-12, 'fear': 0.00037235042782413075, 'happy': 4.530756427811866e-05, 'sad': 0.45906873419880867, 'surprise': 9.255073152303339e-07, 'neutral': 99.52758550643921}",,
28,37,male,white,neutral,19.697715603592208,65.88935852050781
28,37,"{'male': 99.99985694885254, 'female': 0.00014215878536560922}","{'asian': 0.010582291918542827, 'indian': 0.05511174019956706, 'black': 0.000766766515424369, 'white': 81.20885715379033, 'middle eastern': 10.022369322494349, 'latino hispanic': 8.702307647191567}","{'angry': 0.3709811717271805, 'disgust': 1.003305794000653e-06, 'fear': 0.00944021885516122, 'happy': 2.214914560317993, 'sad': 4.593465104699135, 'surprise': 0.00038518160181411076, 'neutral': 92.81081557273865}",,
29,29,male,asian,happy,48.05205510693585,71.89512252807617
29,29,"{'male': 65.59883952140808, 'female': 34.40115749835968}","{'asian': 33.35806727409363, 'indian': 8.267686516046524, 'black': 1.8463632091879845, 'white': 16.567307710647583, 'middle eastern': 22.104184329509735, 'latino hispanic': 17.85638928413391}","{'angry': 5.484721199942841e-05, 'disgust': 1.4013612070248948e-11, 'fear': 16.95702773076461, 'happy': 76.2852714231772, 'sad': 0.0018707204822926884, 'surprise': 1.1792030888320857, 'neutral': 5.576572899614149}",,
30,33,male,asian,sad,24.186773244895647,93.60809326171875
