Image_No,age,gender,race,center_dist,space
23,"{'0-2': 7.707229521258796e-07, '3-9': 0.008186228660633788, '10-19': 12.488877028226852, '20-29': 84.87476110458374, '30-39': 2.6207134127616882, '40-49': 0.007457557512680069, '50-59': 4.410790310771517e-06, '60-69': 4.961351329768604e-08, '70+': 1.078512973373691e-09}","{'male': 0.0022675301806884818, 'female': 99.99773502349854}","{'white': 80.99668622016907, 'black': 0.012486490595620126, 'latino hispanic': 16.116541624069214, 'asian': 0.02178003342123702, 'indian': 0.2880557905882597, 'middle eastern': 2.5644419714808464}",,
24,20-29,female,white,39.01281840626232,90.99006652832031
24,"{'0-2': 1.5495748684202226e-06, '3-9': 0.0008551474820706062, '10-19': 1.8175700679421425, '20-29': 87.04365491867065, '30-39': 10.916762053966522, '40-49': 0.22062479984015226, '50-59': 0.0005301249075273518, '60-69': 5.955964610393494e-06, '70+': 6.306904998254481e-08}","{'male': 0.0009266706001653802, 'female': 99.99907612800598}","{'white': 99.20938014984131, 'black': 1.1573546032650484e-05, 'latino hispanic': 0.06801519775763154, 'asian': 0.0003218691972506349, 'indian': 0.001792424518498592, 'middle eastern': 0.7204863242805004}",,
25,20-29,female,black,45.01110973970759,74.26071166992188
25,"{'0-2': 4.308267307351343e-05, '3-9': 0.1330291386693716, '10-19': 37.399306893348694, '20-29': 60.871005058288574, '30-39': 1.5914205461740494, '40-49': 0.005176644481252879, '50-59': 1.2026795559449965e-05, '60-69': 1.621693113129652e-07, '70+': 5.35666511147781e-09}","{'male': 0.04569169250316918, 'female': 99.95430707931519}","{'white': 0.0010927971743512899, 'black': 99.55576658248901, 'latino hispanic': 0.18416992388665676, 'asian': 0.011950825864914805, 'indian': 0.24666078388690948, 'middle eastern': 0.0003616430603869958}",,
26,20-29,female,black,72.36711960552252,83.441162109375
26,"{'0-2': 1.0994100563266329e-05, '3-9': 0.015551334945484996, '10-19': 9.345036745071411, '20-29': 81.19127750396729, '30-39': 9.384825080633163, '40-49': 0.06304894341155887, '50-59': 0.00024475016289216, '60-69': 8.878159540870456e-07, '70+': 1.947389055567683e-08}","{'male': 0.013368412328418344, 'female': 99.9866247177124}","{'white': 3.898871625551692e-05, 'black': 99.99529719352722, 'latino hispanic': 0.00262738158198772, 'asian': 0.0002076847295029438, 'indian': 0.0018257453120895661, 'middle eastern': 4.667277408998416e-06}",,
27,20-29,female,white,47.20169488482378,75.05979537963867
27,"{'0-2': 6.021610232664898e-06, '3-9': 0.0009323257472715341, '10-19': 0.6044202949851751, '20-29': 63.41520547866821, '30-39': 35.502928495407104, '40-49': 0.4742511548101902, '50-59': 0.002237066473753657, '60-69': 2.178377229711259e-05, '70+': 1.5242994644282248e-07}","{'male': 0.002946072527265642, 'female': 99.9970555305481}","{'white': 98.85767102241516, 'black': 0.0006338189450616483, 'latino hispanic': 0.5822119768708944, 'asian': 0.019431432883720845, 'indian': 0.00379220255126711, 'middle eastern': 0.5362620577216148}",,
28,20-29,female,black,92.43916918709297,67.05093383789062
28,"{'0-2': 0.00012646803497773362, '3-9': 0.7796333637088537, '10-19': 37.684476375579834, '20-29': 59.021711349487305, '30-39': 2.507142908871174, '40-49': 0.006889794167364016, '50-59': 1.7107983296682505e-05, '60-69': 9.06536401501512e-08, '70+': 4.083315630065698e-09}","{'male': 0.03971625701524317, 'female': 99.96028542518616}","{'white': 1.0133514649623976e-05, 'black': 99.9908447265625, 'latino hispanic': 0.0005536113803827902, 'asian': 6.956049674045062e-05, 'indian': 0.008524504664819688, 'middle eastern': 1.3905520290791173e-06}",,
29,20-29,female,white,21.095023109728988,83.68873596191406
